,iv,treated,group_id_overall,outcome
984,1,0,270,0.298908
985,1,0,270,0.227723
986,1,0,270,0.242553
987,1,0,270,0.421096
988,0,0,270,0.351118
989,1,0,270,0.256716
990,1,0,270,0.234405
991,1,0,270,0.388196
992,1,0,270,0.339587
993,1,0,270,0.277538
994,1,0,270,0.356152
995,0,0,270,0.244131
996,0,0,270,0.382979
997,1,0,270,0.304094
998,1,1,270,0.318627
999,1,0,270,0.274896
1000,0,0,270,0.263158
1001,1,0,270,0.261248
1002,1,1,270,0.16
1003,1,0,270,0.25487
1004,1,1,270,0.303699
1005,0,0,270,0.305994
1006,1,0,270,0.270366
1007,1,0,270,0.363636
1008,0,0,270,0.47619
1009,1,0,270,0.253365
1010,0,0,270,0.284585
1011,1,0,270,0.304956
1012,1,0,270,0.336384
1013,1,0,270,0.383041
1014,1,1,270,0.369099
1015,1,1,270,0.27518
1016,1,0,270,0.329555
1017,1,1,270,0.20283
1018,1,1,270,0.357914
1019,1,0,270,0.28593
1020,1,0,270,0.204762
1021,1,1,270,0.219895
1022,1,0,270,0.373168
1023,1,0,270,0.391414
1024,1,0,270,0.378641
1025,1,0,270,0.31625
1026,1,1,270,0.229478
1027,1,1,270,0.263699
1028,1,1,270,0.355405
1029,1,0,270,0.352423
1030,1,0,270,0.367463
1031,1,0,270,0.335855
1032,1,0,270,0.302993
1033,1,0,270,0.357697
1034,1,0,270,0.343321
1035,1,0,270,0.263158
1036,0,0,270,0.34104
1037,1,0,270,0.271178
1038,1,0,270,0.376432
1039,1,0,270,0.377752
1040,1,0,270,0.246637
1041,1,0,270,0.246269
1042,1,0,271,0.212048
1043,1,0,271,0.193548
1044,1,1,271,0.308333
1045,0,0,271,0.279592
1046,1,0,271,0.264151
1047,0,0,271,0.206422
1048,1,0,271,0.275735
1049,1,0,271,0.209302
1050,1,0,271,0.264087
1051,1,0,271,0.337684
1052,1,0,271,0.295989
1053,1,1,271,0.277372
1054,1,0,271,0.420635
1055,1,0,271,0.274678
1056,1,0,271,0.284452
1057,1,0,271,0.295276
1058,1,0,271,0.297989
1059,1,1,271,0.356343
1060,0,0,271,0.284289
1061,0,0,271,0.224377
1062,1,0,271,0.29717
1063,1,0,271,0.254125
1064,1,0,271,0.293086
